Day,New cases,New cases in quarantine,New cases in quarantine,Death,Recovered,Total case,Total death,Total recoverd,Once injected,Twice injected,Total once injected,Total twice injected,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
10/11/2021,7930,3919,3999,79,1254,992735,22765,844054,415790,867584,33334346,30077192,-30,-6,-25,-43,0,-2
11/11/2021,8162,4194,3951,84,1894,1000897,22849,845948,427292,944348,33244016,30525062,-34,-10,-29,-47,0,-3
12/11/2021,8982,4796,4180,81,10263,1009879,22930,856211,369867,1003268,,,-28,-6,-25,-45,0,1
13/11/2021,8467,4511,3940,88,1843,1018346,23018,858054,308386,828825,,,-28,-2,-27,-43,0,2
14/11/2021,8176,4458,3705,64,5257,1026522,23082,863311,234559,605200,,,-28,-3,-18,-44,0,2
15/11/2021,8616,4653,3950,101,1205,1035138,23183,864516,252268,701527,31962246,33712014,-30,-5,-21,-44,0,0
16/11/2021,10259,5881,4369,87,6481,1045397,23270,870997,278368,911259,31485479,34613974,-31,-4,-25,-43,0,0
17/11/2021,9849,4883,4956,67,3873,1055246,23337,874870,310993,1080795,30904643,35591713,-31,-9,-28,-45,0,-1
18/11/2021,10223,4755,5454,139,6723,1065469,23476,881593,350777,1432211,30122636,36779689,-30,-2,-25,-45,0,-3
19/11/2021,9625,4622,4995,102,1971,1075094,23578,883564,343763,1612837,29180646,38126344,-26,-3,-23,-44,0,1
20/11/2021,9531,4742,4776,107,16773,1084625,23685,900337,307507,1314502,28514378,39081230,-25,-1,-24,-42,0,2
21/11/2021,9889,4521,5361,76,5163,1094514,23761,905500,289449,1065962,27878005,40053328,-26,-2,-16,-44,0,1
22/11/2021,10321,4652,5647,190,4776,1104835,23951,910276,271957,1190499,27111005,41152470,-31,-7,-23,-45,0,0
23/11/2021,39132,33116,6010,167,1034,1143967,24118,911310,471935,1123144,26550425,42221457,-32,-4,-23,-42,0,0
24/11/2021,11811,5211,6578,125,25951,1155778,24243,937261,569793,961445,26188106,43123347,-31,-8,-26,-44,0,-1
25/11/2021,12450,5587,6842,164,5627,1168228,24407,942888,528543,802675,25970820,43873161,-32,-7,-25,-45,0,-3
26/11/2021,13109,5806,7288,137,12368,1181337,24544,955256,509600,880358,25632420,44754342,-28,-7,-25,-44,0,1
27/11/2021,16067,8892,7160,148,1668,1197404,24692,956924,521746,804983,25355761,45499853,-29,-4,-28,-43,0,3
28/11/2021,12936,5828,7100,190,1712,1210340,24882,958636,465503,726317,25122903,46192366,-29,-6,-19,-44,0,2
29/11/2021,13770,6157,7601,173,16088,1224110,25055,974724,502428,747782,24920191,46887413,-32,-7,-24,-45,0,1
30/11/2021,13972,6417,7549,197,14624,1238082,25252,989348,479641,670532,24753250,47553019,-34,-7,-28,-43,0,1
1/12/2021,14508,6425,8081,196,2704,1252590,25448,992052,342311,565027,24520704,48215010,-30,-7,-25,-43,0,-1
2/12/2021,13698,6139,7538,210,13258,1266288,25658,1005310,275005,536358,24290987,48805021,-32,-6,-25,-45,0,-3
3/12/2021,14492,5855,8628,200,1149,1280780,25858,1006459,210845,560351,23989422,49367122,-28,-3,-24,-44,0,1
4/12/2021,13998,5591,8402,203,1107,1294778,26061,1007566,167320,422042,23752276,49816319,-28,-1,-25,-43,0,2
5/12/2021,14314,6170,8142,199,1711,1309092,26260,1009277,136304,269354,23639821,50110489,-26,-1,-15,-43,0,1
6/12/2021,14591,6331,8227,223,1130,1323683,26483,1010407,175013,331812,23424514,50563937,-29,-3,-20,-44,0,0
7/12/2021,13840,6529,7306,217,1249,1337523,26700,1011656,213734,444081,23205359,51073637,-29,0,-20,-40,0,-1
8/12/2021,14599,6273,8322,230,24737,1352122,26930,1036393,188205,521654,22889442,51633183,-27,-5,-23,-44,0,-2
9/12/2021,15311,6457,8843,256,14586,1367433,27186,1050979,132733,494580,22585696,52160865,-29,-6,-25,-45,0,-4
10/12/2021,14839,5976,8843,216,1362,1382272,27402,1052341,124880,542735,22238800,52695693,-23,-3,-24,-43,0,0
11/12/2021,16141,6626,9478,209,1084,1398413,27611,1053425,127977,468744,21981855,53112478,-22,3,-23,-41,0,0
12/12/2021,14638,5244,9377,228,1295,1413051,27839,1054720,90076,368777,21731883,53476175,-22,2,-14,-43,0,0
13/12/2021,15377,6458,8891,242,1192,1428428,28081,1055912,109058,433963,21432468,53952972,-25,-1,-18,-43,0,-2
14/12/2021,15220,5852,9351,252,4524,1443648,28333,1060436,127215,451954,21105812,54460619,-27,1,-21,-40,0,-2
15/12/2021,15527,5582,9940,283,2992,1459175,28616,1063428,102042,492753,20773934,54970039,-25,-4,-22,-42,0,-4
16/12/2021,34062,24171,9888,241,1033,1493237,28857,1064461,101782,475819,20450155,55455660,-27,-3,-23,-44,0,-5
17/12/2021,15236,5379,9836,246,31057,1508473,29103,1095518,170236,603422,20062197,56037783,-23,-1,-23,-42,0,-1
18/12/2021,15895,5390,10493,248,1645,1524368,29351,1097163,157653,558388,19715212,56550320,-22,3,-23,-41,0,0
19/12/2021,16110,5551,10542,215,10799,1540478,29566,1107962,115046,448950,19422493,56971361,-23,0,-14,-42,0,0
20/12/2021,14977,5966,9000,225,1937,1555455,29791,1109899,109747,561832,19025892,57523779,-24,0,-18,-42,0,-2
21/12/2021,16325,5007,11309,250,50191,1571780,30041,1160090,150090,618402,18562866,58159664,-25,3,-19,-39,0,-3
22/12/2021,16555,5584,10938,210,13394,1588335,30251,1173484,160066,592715,18157460,58771955,-24,-3,-20,-41,0,-4
23/12/2021,16377,6215,10152,280,10944,1604712,30531,1184428,168225,578628,17778622,59358670,-26,-2,-22,-43,0,-6
24/12/2021,16157,5614,10528,235,30833,1620869,30766,1215261,144525,521353,17470473,59836380,-14,5,-14,-39,0,-2
25/12/2021,15586,7482,8077,241,14423,1636455,31007,1229684,96139,372714,17212269,60218324,-21,2,-22,-41,0,-1
26/12/2021,15218,5547,9635,207,18556,1651673,31214,1248240,72104,300904,17015303,60509028,-25,-3,-19,-44,0,0
27/12/2021,14872,4449,10418,204,11374,1666545,31418,1259614,96928,467477,16698002,60975362,-28,-5,-24,-44,0,-2
28/12/2021,14440,5116,9305,214,4668,1680985,31632,1264282,110734,610905,16259694,61571641,-28,0,-23,-40,0,-3
29/12/2021,13889,5020,8853,245,38260,1694874,31877,1302542,112051,449313,15891613,62110722,-25,-3,-23,-41,0,-4
30/12/2021,19868,8444,11404,291,34102,1714742,32168,1336644,129900,397563,15581593,62585389,-26,-1,-23,-41,0,-6
31/12/2021,16515,5139,11337,226,18642,1731257,32394,1355286,112107,322651,15357864,62955505,-14,8,-13,-35,0,-3
,,,,,,,,,,,,,,,,,,
